id,name,description,base_price,time_required,category_id,created_at,updated_at
1,Room cleaning,"All room cleaning including living room, bedrooms and kitchen",5000,9,1,2024-11-22 07:42:03.476344,2024-11-29 20:07:03.716136
2,Bathroom cleaning,"All bathroom, toilets and washing area cleaning",3000,4,1,2024-11-22 07:42:03.659882,
3,Deep cleaning,"Entire house cleaning including attics, fans and hard to reach areas",10000,16,1,2024-11-22 07:42:03.800280,
4,Water line replacement,Replace old/rusted/broken pipelines,4000,6,2,2024-11-22 07:42:03.945578,
5,Tap fixing and cleaning,"Clean taps, replace and repair",2000,3,2,2024-11-22 07:42:04.097380,
6,Sewer Cleaning,"Clean clogged lines, replace rusted GI pipes",5000,5,2,2024-11-22 07:42:04.212829,
7,Switch replacement,"Replace non-working switches, replace sockets and switchboards",1000,2,3,2024-11-22 07:42:04.338766,
8,Replace fixtures,"Replace ceiling fans, wall fans, tubes, bulbs etc.",2000,4,3,2024-11-22 07:42:04.505458,
9,Landscaping,"Beautiful landscaping services including repotting, soil mixture, fertilizing and mulching",7000,7,4,2024-11-22 07:42:04.671390,
10,Cooking,"World cuisine expert, from traditional Indian to French to Italian to brazilian",3000,3,5,2024-11-22 07:42:04.808240,
14,A/C cooler and refrigeration,"Install or repair new A/C, cooler or refrigeration",2000,3,3,2024-11-22 07:42:05.456802,
15,Invertor services,"Invertor battery replacement, distilled water filling, general service",2000,4,3,2024-11-24 06:00:34.398594,
16,Generator services,"Service generator, replace oil, oil filter, check and replace switch board connections",5000,5,3,2024-11-24 06:04:49.750282,
17,Watering plants,Watering 20 plants,200,3,4,2024-11-24 13:09:18.308471,2024-11-29 20:07:28.472672
18,Potting and fertilizing,"Potting, fertilizing plants, mums and crotons",2000,3,4,2024-11-25 10:12:07.188596,2024-11-29 20:07:20.048772
19,Mexican,"Mexican cuisine like tacos, enchiladas, quesadillas and guacamole",2000,1,5,2024-11-30 05:55:22.165735,2024-11-30 05:56:02.725146
